Company,Website,Industry,HQ,Employees,Revenue_Cr,Logistics_Spend_Cr,Tier,Account_Type,Key_Locations
"Greenlam Industries",,"Cement","Delhi",2000,2000,46,Tier2,Penetration,"Behror (RJ), Nalagarh (HP), Tindivanam (TN)"
"Jain Irrigation (Pipes)",,"Cement","Jalgaon",3000,2000,46,Tier2,Expansion,"Jalgaon (MH), Udaipur (RJ), Bangalore"
"Sanwaria Agro",,"FMCG","Bhopal",800,1500,46,Tier2,Penetration,"Itarsi (MP), Bhopal"
"ACC/Ambuja (Buyer)",,"Cement","Mumbai",,,46,Tier2,Penetration,"Pan-India"
"Godrej Consumer (Oils)",,"FMCG","Mumbai",800,1500,46,Tier2,Penetration,"Mumbai (MH), Malanpur (MP), Baddi"
"Gates India",,"Chemical","Mumbai",1500,1500,46,Tier2,Expansion,"Malanpur (MP), Changodar (GJ)"
"JSW (Captive)",,"Other","Mumbai",1200,,46,Tier2,Penetration,"Karnataka, Maharashtra"
"Ashapura Minechem",,"Other","Mumbai",2500,1200,46,Tier2,Expansion,"Kutch (GJ), Rajasthan"
"NALCO (Captive)",,"Other","Bhubaneswar",3000,,46,Tier2,Penetration,"Panchpatmali (OD), Damanjodi"
"Agro Tech Foods",,"FMCG","Secunderabad",1200,1400,46,Tier2,Expansion,"Kashipur (UK), Hyderabad (TS), Nanded"
"Himadri Speciality",,"Chemical","Kolkata",2000,3500,46,Tier2,Expansion,"Mahistikry (WB), Vizag (AP), Korba (CG)"
"Nahar Spinning",,"Chemical","Ludhiana",5000,2000,46,Tier2,Penetration,"Ludhiana (PB), Lalru (PB), Dappar"
"Tata Metaliks (DI)",,"Cement","Kolkata",1500,2000,46,Tier2,Penetration,"Kharagpur (WB)"
"Continental India",,"Chemical","Bangalore",1800,1500,46,Tier2,Penetration,"Modipuram (UP), Manesar (HR)"
"UltraTech Building Products",,"Cement","Mumbai",1500,1200,46,Tier2,Expansion,"Ahmedabad (GJ), Hyderabad, Pune, Bangalore, Roorkee"
"BRPL (Bhushan)",,"Steel & Metals","Delhi",1500,2000,46,Tier2,Penetration,"Sambalpur (OD), Jharsuguda"
"Man Industries",,"Steel & Metals","Mumbai",1500,3500,46,Tier2,Expansion,"Pithampur (MP), Anjar (GJ)"
"Bhushan Power",,"Steel & Metals","Kolkata",3000,8000,46,Tier1,Penetration,"Jharsuguda (OD), Chandigarh"
"NMDC (Steel)",,"Steel & Metals","Hyderabad",2000,8000,46,Tier1,Penetration,"Nagarnar (CG)"
"Agro Tech Foods",,"FMCG","Secunderabad",1200,1400,46,Tier2,Expansion,"Kashipur (UK), Hyderabad (TS), Nanded"
"Sangam India",,"Chemical","Bhilwara",6000,2000,46,Tier2,Penetration,"Bhilwara (RJ), Atun, Chittor"
"Paint Companies",,"Chemical","",,,46,Tier2,Penetration,"Pan-India"
"Vijay Solvex",,"FMCG","Alwar",1200,2500,46,Tier2,Expansion,"Alwar (RJ), Jaipur"
"Olam Spices",,"Agri & Food","Singapore",1200,1500,46,Tier2,Penetration,"Cochin (KL), Vizag"
"AVT Natural Products",,"Agri & Food","Cochin",2000,1500,46,Tier2,Expansion,"Kerala, TN"
"ITC (Tea)",,"Agri & Food","Kolkata",2000,1500,46,Tier2,Penetration,"Assam, West Bengal"
"Ather Energy",,"Auto & Engineering","Bangalore",1500,1800,46,Tier2,Expansion,"Hosur (TN), Dharwad (KA)"
"Diamond Power",,"Auto & Engineering","Vadodara",1200,2000,46,Tier2,Expansion,"Vadodara (GJ), Silvassa"
"Baker Hughes India",,"Other","Mumbai",1000,2500,45,Tier2,Penetration,"Pan-India"
"Piaggio India",,"Auto & Engineering","Pune",1800,3500,45,Tier2,Penetration,"Baramati (MH)"
"ITC Hotels",,"Cement","Kolkata",,,45,Tier2,Penetration,"Pan-India"
"Tata Metaliks (DI)",,"Steel & Metals","Kolkata",1500,3500,45,Tier2,Expansion,"Kharagpur (WB)"
"Michelin India",,"Auto & Engineering","Chennai",,4000,45,Tier2,Expansion,"Chennai"
"JLR India",,"Auto & Engineering","Pune",1200,8000,45,Tier1,Penetration,"Pune (MH)"
"DLF (Buyer)",,"Cement","Gurugram",,,45,Tier2,Penetration,"Pan-India"
"Hi-Tech Pipes",,"Steel & Metals","Delhi",2000,4500,45,Tier2,Penetration,"Sikandrabad (UP), Khopoli (MH), Sanand (GJ)"
"NLC India",,"Other","Chennai",12000,12000,45,Tier1,Penetration,"Neyveli (TN), Barsingsar (RJ)"
"Piaggio India",,"Auto & Engineering","Pune",1800,3500,45,Tier2,Penetration,"Baramati (MH)"
"Foundry Cluster (Kolhapur)",,"Steel & Metals","Kolhapur",10000,3000,45,Tier2,Penetration,"Kolhapur (MH)"
"Kalpataru Projects",,"Steel & Metals","Mumbai",,,45,Tier2,Penetration,"Pan-India projects"
"OnePlus India",,"FMCG","Hyderabad",500,5000,44,Tier1,Penetration,"Contract (Foxconn)"
"Shree Cement",,"Cement","Kolkata",6000,,44,Tier2,Penetration,"Beawar (RJ), Ras (RJ), Baloda (CG), Athagarh"
"Marico (Foods)",,"FMCG","Mumbai",1500,3000,44,Tier2,Penetration,"Mumbai, Jalgaon, Perundurai"
"Sims Metal (India)",,"Steel & Metals","Australia",400,1500,44,Tier2,Penetration,"Mumbai, Chennai"
"Emmvee Photovoltaic",,"Other","Bangalore",800,1200,43,Tier2,Penetration,"Bangalore (KA)"
"Schott Glass India",,"Cement","Pune",800,1200,42,Tier2,Expansion,"Jambusar (GJ), Hyderabad (TS)"
"Mahindra Lifespaces",,"Cement","Mumbai",,,42,Tier2,Penetration,"Pan-India projects"
"Guardian Glass",,"Cement","",400,1200,42,Tier2,Penetration,"Bharuch (GJ)"
"Walmart India (Wholesale)",,"FMCG","Gurugram",2500,4000,42,Tier2,Penetration,"Pan-India"
"Aquafina (VBL)",,"FMCG","Gurugram",800,1200,42,Tier2,Penetration,"Pan-India"
"Archean Chemical",,"Chemical","Chennai",500,1500,42,Tier2,Penetration,"Rann of Kutch (GJ)"
"Monte Carlo",,"FMCG","Ludhiana",3500,1200,42,Tier2,Penetration,"Ludhiana (PB), Baddi (HP)"
"Dilip Buildcon",,"Steel & Metals","Bhopal",,,42,Tier2,Penetration,"Pan-India projects"
"ICL India",,"Chemical","Mumbai",400,2000,42,Tier2,Penetration,"Navi Mumbai"
"Brigade Enterprises",,"Cement","Bangalore",,,42,Tier2,Penetration,"South India projects"
"Best Agrolife",,"Chemical","Delhi",800,1200,42,Tier2,Penetration,"Gajraula (UP), Jammu"
"McDermott India",,"Other","",600,2000,41,Tier2,Penetration,"Pan-India"
"Uttam Galva Steels",,"Steel & Metals","Mumbai",2500,5500,41,Tier1,Expansion,"Khopoli (MH), Wardha (MH)"
"BCL Industries",,"FMCG","Bathinda",800,1200,41,Tier2,Penetration,"Bathinda (PB), Khanna, Hoshiarpur"
"RINL (Vizag Steel)",,"Steel & Metals","Vizag",5000,8000,41,Tier1,Expansion,"Visakhapatnam (AP)"
"Srinivasa Hatcheries",,"Agri & Food","Rajahmundry",4000,2000,41,Tier2,Penetration,"Rajahmundry (AP), Hyderabad"
"Grasim (Chlor-Alkali)",,"Chemical","Mumbai",2000,3500,41,Tier2,Penetration,"Nagda (MP), Rehla (JH)"
"DVC",,"Cement","Kolkata",8000,,41,Tier2,Expansion,"Chandrapura, Mejia, Bokaro, Raghunathpur (JH/WB)"
"Lubrizol India",,"Other","",400,1500,41,Tier2,Penetration,"Roha (MH)"
"NKT Cables (India)",,"Auto & Engineering","Denmark",500,1500,41,Tier2,Penetration,"Vadodara (GJ)"
"HPCL (Chemicals)",,"Chemical","Mumbai",1200,3000,41,Tier2,Penetration,"Vizag, Mumbai"
"Jain Irrigation (Fresh)",,"Agri & Food","Jalgaon",1000,800,41,Tier2,Expansion,"Jalgaon (MH), Chittoor (AP)"
"Cameron (SLB)",,"Other","",800,2000,41,Tier2,Penetration,"Mumbai"
"Paramount Cables",,"Auto & Engineering","Delhi",1500,1800,41,Tier2,Expansion,"Bhopal (MP), Dewas"
"Bombay Dyeing (Fibres)",,"Chemical","Mumbai",1500,2000,41,Tier2,Penetration,"Patalganga (MH)"
"Auto OEM Suppliers",,"Chemical","",3000,2000,41,Tier2,Penetration,"Auto hubs"
"Verka (Punjab)",,"FMCG","Chandigarh",2000,4500,41,Tier2,Penetration,"Mohali, Ludhiana, Jalandhar"
"Bru (HUL)",,"Agri & Food","Mumbai",500,1200,41,Tier2,Penetration,"Karnataka, Maharashtra"
"NMDC Steel",,"Steel & Metals","Hyderabad",2000,6000,41,Tier1,Penetration,"Nagarnar (CG)"
"RINL (Semis)",,"Steel & Metals","Vizag",3000,6000,41,Tier1,Penetration,"Visakhapatnam (AP)"
"INI Farms",,"Agri & Food","Pune",1500,800,41,Tier2,Expansion,"Nashik (MH), Pune (MH), Satara, Bangalore"
"SRMB Steel",,"Steel & Metals","Kolkata",2000,4500,41,Tier2,Expansion,"Durgapur (WB), Haldia (WB)"
"Corning India",,"Auto & Engineering","Pune",800,1500,41,Tier2,Penetration,"Pune (MH), Chennai"
"Tilaknagar Industries",,"FMCG","Mumbai",1800,1200,41,Tier2,Penetration,"Shrirampur (MH), Hyderabad (TS), Goa"
"Anik Industries",,"FMCG","Indore",600,1200,41,Tier2,Penetration,"Indore (MP), Dewas"
"Campus Activewear",,"Chemical","Delhi",3500,1200,41,Tier2,Penetration,"Dehradun (UK), Bhiwadi (RJ)"
"Freudenberg-NOK",,"Chemical","",1000,1200,41,Tier2,Penetration,"Mohali (PB), Bangalore"
"HP Lubricants (OEM)",,"Other","Mumbai",300,1500,41,Tier2,Penetration,"Auto plant locations"
"Anand Automotive",,"Chemical","Gurugram",2500,1200,41,Tier2,Penetration,"Pune (MH), Parwanoo (HP), Chennai"
"Heritage Foods",,"FMCG","Hyderabad",2500,3500,41,Tier2,Expansion,"Hyderabad, Bangalore, Chennai, Delhi"
"Kriti Industries",,"FMCG","Dewas",800,1200,41,Tier2,Penetration,"Dewas (MP), Jaipur (RJ)"
"NRL (ONGC)",,"Other","Guwahati",1500,2000,41,Tier2,Penetration,"Numaligarh (AS), Digboi"
"Sical Logistics",,"Other","Chennai",2000,1000,41,Tier2,Penetration,"Pan-India"
"Mangalore Refinery",,"Other","Mangalore",800,2000,41,Tier2,Penetration,"Mangalore (KA)"
"Nandini (KMF)",,"Agri & Food","Bangalore",1000,2000,41,Tier2,Penetration,"Bangalore, Mysore, Hassan"
"Milma (Kerala)",,"FMCG","TVM",2500,4500,41,Tier2,Penetration,"Thiruvananthapuram, Ernakulam"
"Corteva Agriscience",,"Agri & Food","Hyderabad",1500,3500,41,Tier2,Expansion,"Hyderabad, Bangalore, Cuttack"
"Filatex India",,"Chemical","Delhi",1500,2000,41,Tier2,Expansion,"Dahej (GJ), Dadra"
"RHI Magnesita",,"Other","Austria",1500,1200,41,Tier2,Penetration,"Raigad (MH), Bhiwadi (RJ), Vizag"
"GMDC",,"Other","Ahmedabad",3000,1800,40,Tier2,Expansion,"Gujarat (Kutch, Patan, Bhavnagar)"
"Hindalco",,"Chemical","Mumbai",,,40,Tier2,Penetration,"Renukoot, Hirakud"
"Steel Companies",,"Chemical","",,,40,Tier2,Penetration,"Pan-India"
"R.K. Marble",,"Cement","Kishangarh",2000,1500,40,Tier2,Expansion,"Kishangarh (RJ), Ambaji (GJ)"
"MAK (BPCL Brand)",,"Other","Mumbai",,2000,40,Tier2,Penetration,"Pan-India distributors"
"Saharanpur Cluster",,"Cement","Saharanpur",8000,1500,40,Tier2,Penetration,"Saharanpur (UP)"
"Avaada Energy",,"Other","Delhi",1200,4000,40,Tier2,Penetration,"Pan-India"
"Ather Energy",,"Auto & Engineering","Bangalore",1500,1800,40,Tier2,Penetration,"Hosur (TN), Dharwad (KA)"
"DCM Shriram (Chlor-Alkali)",,"Chemical","Delhi",2000,4000,40,Tier2,Expansion,"Kota (RJ), Bharuch (GJ)"
"DTDC Express",,"Other","Bangalore",8000,1500,40,Tier2,Penetration,"Pan-India"
"Dalmia Cement (Fuel)",,"Other","Delhi",1500,6000,39,Tier1,Penetration,"Pan-India"
"Cargill India (Coal)",,"Other","Gurgaon",100,8000,39,Tier1,Penetration,"Import"
"Leela Ship Recycling",,"Steel & Metals","Bhavnagar",1200,1500,39,Tier2,Expansion,"Alang (GJ)"
"KTM/Husqvarna (Bajaj)",,"Auto & Engineering","Pune",1500,3500,39,Tier2,Penetration,"Chakan (MH)"
"Jindal Power",,"Other","Delhi",1500,6000,39,Tier1,Penetration,"Tamnar (CG)"
"CAF India",,"Steel & Metals","Spain",800,1500,39,Tier2,Penetration,"Hosur (TN)"
"Hindalco (Scrap)",,"Steel & Metals","Mumbai",500,1500,39,Tier2,Penetration,"Renukoot (UP), Hirakud (OD)"
"Kurl-On",,"Cement","Bangalore",2000,1500,39,Tier2,Expansion,"Bangalore, Dharwad, Bhiwadi"
"State Seeds Corp",,"Agri & Food","",5000,3000,39,Tier2,Penetration,"State-wise"
"Navitas Solar",,"Other","Ahmedabad",400,1000,39,Tier2,Penetration,"Mundra (GJ)"
"Medha Servo Drives",,"Steel & Metals","Hyderabad",2000,1500,38,Tier2,Penetration,"Hyderabad (TS), Gummidipoondi"
"Wacker India",,"Chemical","Kolkata",400,1200,38,Tier2,Penetration,"Amtala (WB)"
"Dabur (Foods)",,"FMCG","Gurugram",1200,2500,38,Tier2,Penetration,"Baddi (HP), Pantnagar (UK), Tezpur (AS)"
"Advanta Seeds",,"Chemical","Hyderabad",800,1000,38,Tier2,Penetration,"Hyderabad (TS), Dharwad (KA)"
"Plastiblends India",,"Chemical","Mumbai",800,1500,38,Tier2,Penetration,"Daman, Silvassa, Vapi (GJ)"
"Mosaic India",,"Chemical","Delhi",150,3000,38,Tier2,Penetration,""
"LyondellBasell India",,"Chemical","Mumbai",200,3500,38,Tier2,Penetration,""
"Nippon Gases (JV)",,"Chemical","Mumbai",600,1000,38,Tier2,Penetration,"Gujarat, Maharashtra, AP"
"Dynamic Cables",,"Steel & Metals","Jaipur",900,1800,38,Tier2,Penetration,"Jaipur (RJ), Reengus (RJ)"
"Atul Ltd (Agro)",,"Chemical","Valsad",1000,1200,38,Tier2,Penetration,"Atul (GJ), Ankleshwar (GJ)"
"Corning India",,"Cement","Pune",400,1000,38,Tier2,Penetration,"Pune (MH)"
"USG Boral",,"Cement","Gurugram",800,1500,37,Tier2,Expansion,"Khushkhera (RJ), Pune (MH)"
"NCC (Pipelines)",,"Steel & Metals","Hyderabad",,,37,Tier2,Penetration,"Pan-India"
"Kay Bee Exports",,"Agri & Food","Mumbai",350,600,37,Tier2,Penetration,"Vashi (MH), Nashik (MH)"
"Mazagon Dock",,"Steel & Metals","Mumbai",,,37,Tier2,Penetration,"Mumbai"
"Crofarm (Otipy)",,"Agri & Food","Delhi",1000,500,37,Tier2,Penetration,"Delhi-NCR"
"Bhavnagar Re-rollers",,"Steel & Metals","Gujarat",3000,6000,37,Tier1,Penetration,"Gujarat"
"Lodha (Buyer)",,"Cement","Mumbai",,,37,Tier2,Penetration,"Mumbai region"
"Ashoka Buildcon",,"Steel & Metals","Nashik",,,37,Tier2,Penetration,"Pan-India projects"
"Marriott (FF&E)",,"Cement","",,,37,Tier2,Penetration,"Pan-India"
"Magicrete Building Solutions",,"Cement","Mumbai",1000,800,36,Tier2,Expansion,"Panvel (MH), Surat (GJ), Hyderabad, Lucknow, Kolkata"
"Punj Lloyd",,"Other","Delhi",1500,2000,36,Tier2,Penetration,"Pan-India"
"Rasoya Proteins",,"FMCG","Washim",600,1000,36,Tier2,Penetration,"Washim (MH), Nanded"
"Dodla Dairy",,"FMCG","Hyderabad",2000,3000,36,Tier2,Expansion,"Hyderabad, Nellore, Mysore, Kenya"
"AAK India (Aarhus)",,"FMCG","Denmark",400,1000,36,Tier2,Penetration,"Mumbai, Mangalore"
"Infineum India",,"Other","",300,1200,36,Tier2,Penetration,"Vadodara (GJ)"
"Valvoline Cummins",,"Other","Pune",500,1500,36,Tier2,Expansion,"Ambernath (MH), Chandigarh"
"Man Industries",,"Steel & Metals","Mumbai",1500,3500,36,Tier2,Penetration,"Pithampur (MP), Anjar (GJ)"
"Gandhar Oil",,"Other","Mumbai",800,1200,36,Tier2,Penetration,"Taloja (MH), Silvassa"
"Pennar Industries (Tubes)",,"Steel & Metals","Hyderabad",1500,3000,36,Tier2,Penetration,"Hyderabad (TS), Chennai (TN), Pune (MH)"
"Birla Jingwei",,"Chemical","Mumbai",1000,1500,36,Tier2,Penetration,"Vilayat (GJ)"
"National Oilwell Varco",,"Other","",500,1500,36,Tier2,Penetration,"Mumbai"
"Precot Meridian",,"Chemical","Coimbatore",4000,1200,36,Tier2,Penetration,"Coimbatore (TN), Tirupur"
"Lal PathLabs (Hariom)",,"FMCG","Amritsar",600,1000,36,Tier2,Penetration,"Karnal (HR), Amritsar (PB)"
"MGL",,"Other","Mumbai",1500,6000,36,Tier1,Penetration,"Mumbai"
"Rathi Super Steel",,"Steel & Metals","Delhi",800,1000,36,Tier2,Penetration,"Ghaziabad (UP), Bhiwadi (RJ)"
"ESAB India",,"Steel & Metals","Chennai",1000,1000,36,Tier2,Penetration,"Nagpur (MH), Chennai (TN)"
"RDC Concrete",,"Cement","Delhi",1000,1500,36,Tier2,Penetration,"North India"
"Raymond Synthetics",,"Chemical","Mumbai",3000,1500,36,Tier2,Penetration,"Chhindwara (MP), Jalgaon (MH)"
"Harrisons Malayalam",,"Agri & Food","Kochi",15000,1200,36,Tier2,Penetration,"Kerala, TN"
"Weatherford India",,"Other","Chennai",600,1500,36,Tier2,Penetration,"Pan-India"
"Dhunseri Petrochem",,"Chemical","Kolkata",800,1500,36,Tier2,Penetration,"Haldia (WB)"
"DCM Shriram (Chemicals)",,"Other","Delhi",800,1000,36,Tier2,Penetration,"Kota (RJ), Jhagadia (GJ)"
"Goodricke Group",,"Agri & Food","Kolkata",25000,1200,36,Tier2,Expansion,"Assam, Darjeeling, Dooars"
"BPCL (Chemicals)",,"Chemical","Mumbai",1000,2500,36,Tier2,Penetration,"Mumbai, Kochi"
"UltraTech RMC",,"Cement","Mumbai",1500,800,36,Tier2,Penetration,"Pan-India"
"Shree Cement (Fuel)",,"Other","Kolkata",1200,5500,36,Tier1,Penetration,"Rajasthan, UP, Bihar"
"Century Rayon (Birla)",,"Chemical","Mumbai",2500,1500,36,Tier2,Expansion,"Shahad (MH)"
"Hira Ferro Alloys",,"Steel & Metals","Raipur",1200,1500,36,Tier2,Expansion,"Raipur (CG)"
"UPL Seeds (Advanta)",,"Agri & Food","Mumbai",1200,3000,36,Tier2,Expansion,"Hyderabad, Sarigam (GJ), Bangalore, Gwalior"
"Azure Power",,"Other","Delhi",800,3500,35,Tier2,Penetration,"Pan-India"
"India Cements",,"Cement","Chennai",5000,,35,Tier2,Penetration,"South India"
"DMart (Avenue)",,"Other","Mumbai",15000,50000,35,Tier1,Expansion,"Pan-India (Maharashtra, Gujarat focus)"
"TVS Srichakra",,"Auto & Engineering","Madurai",,3500,35,Tier2,Expansion,"Madurai, Mysore"
"Hindware (HSIL)",,"Cement","Delhi",,3000,35,Tier2,Expansion,"Bahadurgarh, Bhiwadi, Kaharani"
"Trivitron Healthcare",,"FMCG","Chennai",2800,2500,35,Tier2,Penetration,"Chennai (TN), Hyderabad, Bangalore"
"Bridgestone India",,"Auto & Engineering","Pune",,3000,35,Tier2,Expansion,"Indore (MP)"
"Walchandnagar Industries",,"Auto & Engineering","Pune",2000,1200,35,Tier2,Expansion,"Walchandnagar (MH)"
"Prataap Snacks",,"FMCG","Indore",1500,1800,35,Tier2,Penetration,"Indore (MP), Guwahati, Karnal, Kolkata"
"Triveni Turbine",,"Auto & Engineering","Bangalore",1500,1200,35,Tier2,Penetration,"Bangalore (KA)"
"Nuberg Engineering",,"Auto & Engineering","Noida",800,1000,35,Tier2,Penetration,"Noida (UP), Dahej (GJ)"
"Manganese Ore India",,"Steel & Metals","Nagpur",5000,1500,35,Tier2,Penetration,"Nagpur (MH), Balaghat (MP)"
"Wabtec India",,"Steel & Metals","Gurgaon",1500,1200,35,Tier2,Penetration,"Hosur (TN), Dehradun"
"RINL (Scrap)",,"Steel & Metals","Vizag",400,1200,34,Tier2,Penetration,"Visakhapatnam (AP)"
"Preethi (Elgi)",,"FMCG","Coimbatore",1200,1000,34,Tier2,Penetration,"Coimbatore (TN)"
"Rajratan Global Wire",,"Steel & Metals","Indore",800,1500,34,Tier2,Penetration,"Pithampur (MP), Bhiwadi (RJ)"
"Kaveri Seeds",,"Agri & Food","Secunderabad",1000,2800,33,Tier2,Expansion,"Secunderabad (TS), Bellary, Mysore"
"National Steel (SSC)",,"Steel & Metals","Mumbai",1000,3000,33,Tier2,Penetration,"Mumbai, Delhi, Chennai, Kolkata, Bangalore"
"Coromandel (Acids)",,"Chemical","Hyderabad",1500,2500,33,Tier2,Penetration,"Vizag (AP), Ennore (TN)"
"BORL (BPCL)",,"Other","Bhopal",800,1500,33,Tier2,Penetration,"Bina (MP)"
"Skylark Hatcheries",,"Agri & Food","Pune",2500,1500,33,Tier2,Penetration,"Pune (MH), Raipur (CG)"
"ISMT Ltd",,"Steel & Metals","Pune",1200,2500,33,Tier2,Penetration,"Ahmednagar (MH), Baramati (MH)"
"Desai Fruits",,"Agri & Food","Mumbai",800,600,33,Tier2,Expansion,"Nashik (MH), Sangli (MH), Vashi"
"Reliance Power",,"Cement","Mumbai",2000,,33,Tier2,Expansion,"Sasan (MP), Rosa (UP), Butibori (MH)"
"NCC Ltd",,"Steel & Metals","Hyderabad",,,33,Tier2,Penetration,"Pan-India projects"
"Kesar Logistics",,"Other","Ahmedabad",1200,800,33,Tier2,Expansion,"Pan-India"
"Ester Industries",,"Chemical","Delhi",1200,1200,33,Tier2,Penetration,"Khatima (UK), Silvassa"
"Bhushan Power",,"Steel & Metals","Kolkata",2000,5000,33,Tier1,Penetration,"Jharsuguda (OD), Chandigarh"
"Fenner India",,"Chemical","Madurai",1500,900,33,Tier2,Expansion,"Madurai (TN), Hosur"
"KRCL (Konkan)",,"Steel & Metals","Navi Mumbai",3000,2000,33,Tier2,Penetration,"Konkan route"
"Greaves Cotton (Ampere)",,"Auto & Engineering","Bangalore",2200,2800,33,Tier2,Penetration,"Coimbatore (TN), Ranipet"
"Vindhya Telelinks",,"Auto & Engineering","Rewa",1000,1200,33,Tier2,Penetration,"Rewa (MP), Dewas"
"CP India (Charoen Pokphand)",,"Agri & Food","Bangkok",1200,2000,33,Tier2,Expansion,"Hyderabad, Coimbatore"
"APGENCO",,"Cement","Hyderabad",10000,,33,Tier2,Penetration,"Vijayawada, Kothagudem, Ramagundam"
"Rhenus Logistics",,"Other","",1000,800,33,Tier2,Penetration,"Pan-India"
"Tata Power",,"Cement","Mumbai",4000,,33,Tier2,Expansion,"Mundra (GJ), Trombay (MH), Maithon (JH), Jojobera"
"Gupta Power",,"Auto & Engineering","Delhi",1000,1200,33,Tier2,Penetration,"Bhubaneswar (OD), Haridwar"
"Gokul (Maharashtra)",,"FMCG","Kolhapur",1500,3500,33,Tier2,Penetration,"Kolhapur, Satara"
"UPRVUNL",,"Cement","Lucknow",10000,,33,Tier2,Penetration,"Anpara, Obra, Harduaganj, Parichha"
"Loom Solar",,"Other","Faridabad",500,800,32,Tier2,Penetration,"Faridabad (HR), Mathura (UP)"
"Hitachi Rail India",,"Steel & Metals","Mumbai",1000,1200,32,Tier2,Penetration,"Kolkata, Bangalore"
"Servotech Power",,"Other","Noida",600,800,32,Tier2,Penetration,"Greater Noida (UP), Bhiwadi (RJ)"
"VST Tillers",,"Auto & Engineering","Bangalore",1500,1800,32,Tier2,Penetration,"Bangalore (KA), Hosur (TN)"
"Pokarna Ltd",,"Cement","Hyderabad",1500,1000,32,Tier2,Expansion,"Ongole (AP), Chimakurthy"
"Biostadt India",,"Chemical","Mumbai",600,800,31,Tier2,Penetration,"Aurangabad (MH), Badlapur (MH)"
"NEG India",,"Cement","",300,800,31,Tier2,Penetration,"Chennai (TN)"
"Axalta Coating",,"Chemical","Vadodara",400,900,31,Tier2,Penetration,"Savli (GJ)"
"SOM Distilleries",,"FMCG","Bhopal",1200,900,31,Tier2,Penetration,"Bhopal (MP), Raisen (MP), Hassan (KA)"
"Nagarjuna Agrichem",,"Chemical","Hyderabad",800,900,31,Tier2,Penetration,"Srikakulam (AP), Hyderabad (TS)"
"Clean Science",,"Chemical","Pune",450,900,31,Tier2,Expansion,"Kurkumbh (MH)"
"Borosil Renewables",,"Cement","Mumbai",600,800,31,Tier2,Penetration,"Bharuch (GJ)"
"Wakefit",,"Cement","Bangalore",1000,1200,31,Tier2,Expansion,"Bangalore, Jodhpur"
"GRM Overseas",,"FMCG","Panipat",800,2000,31,Tier2,Penetration,"Panipat (HR), Karnal"
"Goyal MG Gases",,"Chemical","Ghaziabad",800,800,31,Tier2,Expansion,"North India (Ghaziabad, Lucknow, Kanpur)"
"Solara Active Pharma",,"FMCG","Chennai",3000,2200,31,Tier2,Penetration,"Mysore (KA), Cuddalore (TN), Vizag (AP)"
"Ramco Cement",,"Cement","Chennai",4000,,31,Tier2,Penetration,"South India"
"AIS Glass Solutions",,"Cement","Mumbai",600,800,31,Tier2,Penetration,"Pan-India"
"Vikram Ship Breaking",,"Steel & Metals","Bhavnagar",900,1200,31,Tier2,Expansion,"Alang (GJ)"
"Hitech Plast",,"Chemical","Mumbai",800,1200,31,Tier2,Penetration,"Silvassa, Daman, Chennai"
"Schreiber Dynamix",,"FMCG","Pune",1000,2500,31,Tier2,Expansion,"Baramati (MH), Fazilka (PB)"
"Nippon Sheet Glass (Pilkington)",,"Cement","Mumbai",200,1500,31,Tier2,Penetration,"Import/JV"
"Birla Corp",,"Cement","Kolkata",5000,,31,Tier2,Penetration,"MP, Rajasthan, UP"
"Sisecam (Turkey)",,"Cement","Turkey",200,800,31,Tier2,Penetration,"Gujarat (Planned)"
"Sandur Manganese",,"Other","Hospet",1500,1200,31,Tier2,Penetration,"Karnataka (Sandur)"
"Godrej Tyson",,"FMCG","Mumbai",600,1200,31,Tier2,Expansion,"Taloja (MH), Hoskote (KA)"
"Spar India",,"FMCG","Bangalore",2000,3000,30,Tier2,Penetration,"South India"
"Freshtrop Fruits",,"Agri & Food","Mumbai",300,500,30,Tier2,Penetration,"Vashi (MH), Bangalore (KA)"
"Sundram Fasteners",,"Chemical","Chennai",1200,800,30,Tier2,Penetration,"Chennai (TN), Hosur"
"Godrej Properties",,"Cement","Mumbai",,,30,Tier2,Penetration,"Pan-India"
"HIL Ltd (Birla)",,"Cement","Hyderabad",2500,600,30,Tier2,Expansion,"Pan-India"
"Dunlop India",,"Chemical","Kolkata",1500,800,30,Tier2,Penetration,"Hooghly (WB), Ambattur (TN)"
"Trelleborg India",,"Chemical","",700,800,30,Tier2,Penetration,"Bangalore (KA), Pune"
"TVS Srichakra",,"Chemical","Madurai",1500,800,30,Tier2,Penetration,"Madurai (TN), Mysore (KA)"
"Vectus Industries",,"Cement","Delhi",2000,1000,30,Tier2,Penetration,"Haridwar, Guwahati, Bhiwadi, Hyderabad"
"Action Footwear",,"Chemical","Delhi",3000,800,30,Tier2,Penetration,"Bahadurgarh (HR), Bhiwadi"
"Simplot India",,"Agri & Food","",300,500,30,Tier2,Penetration,"Kheda (GJ)"
"Action Tesa",,"Cement","Delhi",800,1000,30,Tier2,Penetration,"Sitarganj (UK)"
"Rubfila International",,"Chemical","Kottayam",1000,800,30,Tier2,Expansion,"Kottayam (KL), Chennai"
"Featherlite",,"Cement","Bangalore",1500,1200,30,Tier2,Expansion,"Bangalore (KA), Chennai"
"JSW Infrastructure",,"Steel & Metals","Mumbai",2000,8000,30,Tier1,Penetration,"ports"
